광역,시군구,읍면동,투표소,후보자당,ID,선거구,선거인수,투표수,유효투표수,무효표,기권수,후보자,후보자득표,득표율,총득표,순위,차순위득표차,권역,선거인수.비례,유효투표수.비례,비례득표,교차투표,지역구
부산광역시,북구,만덕제2동,만덕제2동제4투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2540,1504,1486,18,1036,박민식,708,0.4764468371467025,38527,2,,영남,2540.0,1456.0,635.0,73.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제5투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,4508,2783,2764,19,1725,전재수,1667,0.6031114327062229,48887,1,570.0,영남,4508.0,2700.0,938.0,729.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제5투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,4508,2783,2764,19,1725,박민식,1097,0.3968885672937771,38527,2,,영남,4508.0,2700.0,965.0,132.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제6투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2629,1482,1472,10,1147,전재수,869,0.5903532608695652,48887,1,266.0,영남,2629.0,1463.0,497.0,372.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제6투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2629,1482,1472,10,1147,박민식,603,0.4096467391304347,38527,2,,영남,2629.0,1463.0,540.0,63.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제7투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3438,2136,2128,8,1302,전재수,1321,0.6207706766917294,48887,1,514.0,영남,3438.0,2101.0,761.0,560.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제7투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3438,2136,2128,8,1302,박민식,807,0.3792293233082707,38527,2,,영남,3438.0,2101.0,662.0,145.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1590,1590,1577,13,0,전재수,875,0.5548509828788839,48887,1,173.0,영남,1590.0,1562.0,494.0,381.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1590,1590,1577,13,0,박민식,702,0.445149017121116,38527,2,-536.0,영남,1590.0,1562.0,639.0,63.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,만덕제3동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2751,1669,1655,14,1082,전재수,968,0.5848942598187311,48887,1,281.0,영남,2751.0,1604.0,507.0,461.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,만덕제3동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2751,1669,1655,14,1082,박민식,687,0.4151057401812689,38527,2,,영남,2751.0,1604.0,609.0,78.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,만덕제3동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3281,2105,2082,23,1176,전재수,1138,0.5465898174831892,48887,1,194.0,영남,3281.0,2063.0,646.0,492.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,만덕제3동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3281,2105,2082,23,1176,박민식,944,0.4534101825168107,38527,2,,영남,3281.0,2063.0,811.0,133.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제3동,만덕제3동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2501,1299,1289,10,1202,전재수,752,0.5833979829325058,48887,1,215.0,영남,2501.0,1266.0,405.0,347.0,북구강서구갑(부산광역시)
